cont_id|transaction_id|transaction_date|prod_id|prod_family|prod_sub_family|prod_category|prod_name
102700031|102700475|4/26/2020|790250924|ACCESSORIES|TEXTILES||EVASION COLLECTION
102700031|102700475|4/26/2020|790250929|ACCESSORIES|TEXTILES||EVASION COLLECTION
102700031|102700474|4/26/2020|102700766|ACCESSORIES|RUGS||RUGS - C115 - 608
100101714|100103755|4/25/2020|102800264|ARMCHAIRS|OTTOMANS|FABRICS|SPOUTNIK LOUNGE
100101714|100103755|4/25/2020|100500673|ARMCHAIRS|INDEPENDENT ARMCHAIRS|FABRICS|SPOUTNIK LOUNGE
100202953|100203441|4/25/2020|102700011|SOFAS|SECTIONALS|LEATHER|SCENARIO
100202953|100203441|4/25/2020|100400718|SOFAS|OTTOMANS (C)|LEATHER|SCENARIO
101107594|101103276|4/25/2020|790088376|SOFAS|MODULAR SOFAS|COM|SOLSTICE
100202953|100203441|4/25/2020|100301876|SOFAS|SECTIONALS|LEATHER|SCENARIO
101107594|101103276|4/25/2020|790088576|SOFAS|MODULAR SOFAS|COM|SOLSTICE
100202953|100203441|4/25/2020|102700009|SOFAS|SECTIONALS|LEATHER|SCENARIO
101107594|101103276|4/25/2020|790088387|SOFAS|MODULAR SOFAS|COM|SOLSTICE
100201740|100203440|4/24/2020|790268461|TABLES|DINING TABLES|GLASS|AXEL - GLASS
102200007|102202138|4/24/2020|790235949|COMPLEMENTARY PIECES|CONSOLES|FINISH|MAISON LACROIX (ONYX FINISH)
101504839|101201898|4/23/2020|101201441|CHAIRS|BRIDGES|FABRICS|QUADRILLE
100408238|100404259|4/23/2020|100301804|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
100408238|100404259|4/23/2020|100059419|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
100408238|100404259|4/23/2020|100301812|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
102700463|102700473|4/23/2020|102700747|COMPLEMENTARY PIECES|TV/HIFI UNITS|FINISH|GLOBO CASEGOODS
100408238|100404259|4/23/2020|100301799|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
100408238|100404259|4/23/2020|101700905|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
100408238|100404259|4/23/2020|100301802|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
101504839|101201898|4/23/2020|790245413|COMPLEMENTARY PIECES|DRESSING TABLES|FINISH|REPERTOIRE (BEDROOM)
100408238|100404259|4/23/2020|100301991|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (2/2)
101502398|101504209|4/23/2020|790141057|CHAIRS|BRIDGES|SYNTHETIC LEATHER|STEEPLE CHAIR
100408238|100404259|4/23/2020|100301993|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (2/2)
101502398|101504209|4/23/2020|790141057|CHAIRS|BRIDGES|SYNTHETIC LEATHER|STEEPLE CHAIR
101504839|101201898|4/23/2020|101201436|COMPLEMENTARY PIECES|CHESTS OF DRAWERS|FINISH|GLOBO WITH CAST ALUMINIUM LEGS
100408238|100404259|4/23/2020|100301808|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
100408238|100404259|4/23/2020|790269319|SOFAS|SOFA COMPLEMENTARY UNITS|OPTIONAL|MAH JONG (1/2)
100408238|100404259|4/23/2020|102700051|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
102201155|102202149|4/23/2020|790189708|ACCESSORIES|WALL DECORATION||MIRRORS - C115 - 25
100408238|100404259|4/23/2020|100301797|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
102201155|102202149|4/23/2020|102700743|CHAIRS|CHAIRS|FABRICS|STEEPLE CHAIR
102200693|102202150|4/23/2020|100061165|CHAIRS|STOOLS|FABRICS|JUMPER
100408238|100404259|4/23/2020|100059412|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
100408238|100404259|4/23/2020|100301801|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
100408238|100404259|4/23/2020|100059463|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG (1/2)
101201388|101201894|4/22/2020|100301885|SOFAS|SOFA COMPLEMENTARY UNITS|FABRICS|MAH JONG OUTDOOR
100017863|100021637|4/22/2020|100301886|SOFAS|SOFA COMPLEMENTARY UNITS|FABRICS|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|100301886|SOFAS|SOFA COMPLEMENTARY UNITS|FABRICS|MAH JONG OUTDOOR
101201388|101201895|4/22/2020|102700088|SOFAS|SECTIONALS|LEATHER|SCENARIO
101201388|101201894|4/22/2020|100059714|SOFAS|MODULAR SOFAS|OPTIONAL|MAH JONG OUTDOOR
101201388|101201895|4/22/2020|102700010|SOFAS|SECTIONALS|LEATHER|SCENARIO
101201388|101201894|4/22/2020|101200429|SALON COMPLEMENTS|COUSSIN|CAT 20|MAH JONG OUTDOOR
100603480|100603570|4/22/2020|100601172|ACCESSORIES|RUGS||RUG - C218 - 608
101201388|101201895|4/22/2020|102200323|SOFAS|SECTIONALS|LEATHER|SCENARIO
101201388|101201894|4/22/2020|100301887|SOFAS|SOFA COMPLEMENTARY UNITS|FABRICS|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|100301824|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
100603480|100603570|4/22/2020|100301892|CHAIRS|CHAIRS|FABRIC|NATIV COLLECTION - IDENTITIES
101201388|101201894|4/22/2020|100301828|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
102200838|100021638|4/22/2020|100301930|SOFAS|OTTOMANS (C)|FABRIC|EDITO
100017863|100021637|4/22/2020|101601011|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
100603480|100603570|4/22/2020|790230779|TABLES|DINING TABLES|FINISH|AQUA
101201388|101201895|4/22/2020|101200075|ACCESSORIES|NULL||HIP HOP GM
101201388|101201895|4/22/2020|100201043|TABLES|DINING TABLES|FINISH|CIGALE
101201388|101201894|4/22/2020|100059717|SOFAS|MODULAR SOFAS|OPTIONAL|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|101200448|SOFAS|MODULAR SOFAS|OPTIONAL|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|100301888|SOFAS|SOFA COMPLEMENTARY UNITS|FABRICS|MAH JONG OUTDOOR
101201388|101201895|4/22/2020|101200074|ACCESSORIES|NULL||HIP HOP MM
101201388|101201894|4/22/2020|100301826|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
102400732|102400728|4/22/2020|790241715|COCKTAIL TABLES|FIXED COCKTAIL TABLES|FINISH|SILVER TREE
101201388|101201895|4/22/2020|102200322|SOFAS|OTTOMANS (C)|LEATHER|SCENARIO
101201388|101201895|4/22/2020|101201439|CHAIRS|CHAIRS|SYNTHETIC LEATHER|KASUKA
101201388|101201895|4/22/2020|102500159|SOFAS|SECTIONALS|LEATHER|SCENARIO
102200838|100021638|4/22/2020|100301898|ARMCHAIRS|INDEPENDENT ARMCHAIRS|FABRIC|EDITO
101201388|101201894|4/22/2020|100301822|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
100017863|100021637|4/22/2020|100059717|SOFAS|MODULAR SOFAS|OPTIONAL|MAH JONG OUTDOOR
102400732|102400728|4/22/2020|790241714|COCKTAIL TABLES|FIXED COCKTAIL TABLES|FINISH|SILVER TREE
100017863|100021637|4/22/2020|100301824|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|100301819|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
100017863|100021637|4/22/2020|102200480|SOFAS|SOFA COMPLEMENTARY UNITS|FABRICS|MAH JONG (1/2)
101201388|101201894|4/22/2020|100301829|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|102600112|COCKTAIL TABLES|NULL|FINISH|CUTE CUT
102200838|100021638|4/22/2020|790254784|COMPLEMENTARY PIECES|END TABLES|TOPS|IVRESSE
101201388|101201894|4/22/2020|100301820|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|100301817|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
101201388|101201894|4/22/2020|100059712|SOFAS|MODULAR SOFAS|OPTIONAL|MAH JONG OUTDOOR
101201388|101201895|4/22/2020|790142613|SOFAS|SOFA COMPLEMENTARY UNITS|AS SHOWN|SCENARIO
101201388|101201895|4/22/2020|101200073|ACCESSORIES|NULL||HIP HOP PM
101201388|101201894|4/22/2020|100301827|SOFAS|MODULAR SOFAS|FABRICS|MAH JONG OUTDOOR
102500882|102501366|4/21/2020|101700874|SOFAS|LOUNGE CHAIRS|LEATHER|SCENARIO
